"Davinci Resolve",True,"creative",native,"Compatible","19",https://www.blackmagicdesign.com/products/davinciresolve/,DavinciResolve.jfif,
"DBeaver",False,"dev-tools",emulation,"Compatible","24.0.1.0",https://apps.microsoft.com/detail/9pnkdr50694p?hl=en-in&gl=IN,,
"DC Browser",False,"browsers",emulation,"Compatible","6.0.3.30",https://apps.microsoft.com/detail/xp8bv7f2ct4ldk?hl=en-in&gl=IN,,
"Deep Freeze Enterprise",False,"utils-tools",emulation,"Compatible","8.71.20.5734",https://www.faronics.com/downloads/download-form?product=DFE,,
"DeepL Translate",False,"travel",emulation,"Compatible","24.1.1.11641",https://apps.microsoft.com/detail/xpdnx7g06blh2g,,
"Deezer Music",False,"music",emulation,"Compatible","6.0.50.228",https://apps.microsoft.com/detail/9nblggh6j7vv,,
"Defraggler",False,"utils-tools",emulation,"Compatible","2.22.99",https://www.ccleaner.com/defraggler,,
"Descript",False,"entertainment",emulation,"Compatible","82.1.5",https://apps.microsoft.com/detail/xp8bsml4bxt27n,,
"DesktopCal",False,"utils-tools",emulation,"Compatible","3.10.162.6355",http://www.desktopcal.com/,,
"Desktop Live Wallpapers",False,"personal",emulation,"Compatible","2.0.6.0",https://apps.microsoft.com/detail/9nz370xbfqmg,,
"Dev-C++",False,"dev-tools",emulation,"Compatible","5.11",https://www.avira.com/en/downloads-paid,,
"Dictionary",False,"books",emulation,"Compatible","7.2.3",https://apps.microsoft.com/detail/9wzdncrfj3zp,,
"Discord",False,"web-social",emulation,"Compatible","1.0.9003",https://apps.microsoft.com/detail/xpdc2rh70k22mn,,
"Disney+",True,"entertainment",native,"Compatible","2023.8.310",https://apps.microsoft.com/detail/9nxqxxlfst89,DisneyPlus.png,
"DisplayLink Software",False,"utils-tools",emulation,"Compatible","3.2.14.0",https://apps.microsoft.com/detail/9n09f8v8fs02?launch=true&mode=full&hl=en&gl=in&ocid=bingwebsearch,,
"DivX Converter",False,"utils-tools",emulation,"Compatible","10.10.1.0",https://www.divx.com/en/software/divx/,,
"DivX Plus Player",False,"entertainment",emulation,"Compatible","10.10.1.0",https://www.divx.com/en/software/divx/,,
"Docker",False,"dev-tools",native,"Compatible","4.31.1",https://desktop.docker.com/win/main/arm64/153195/Docker%20Desktop%20Installer.exe,,
"DraftSight Italian",False,"cad",emulation,"Compatible","24.1.0060",https://www.draftsight.com/support/draftsight-download,,
"Drawboard PDF",False,"utils-tools",native,"Compatible","6.60.22.0",https://apps.microsoft.com/detail/9wzdncrfhwqt,,
